employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
S&S Activewear,"Jan 20, 2025",86,WARN,Edwardsville,66111,3 - Workforce Investment Area III,"9525 Woodend Road; Edwardsville, Kansas 66111",2259,https://www.kansasworks.com/search/warn_lookups/2259
Coperion K-Tron,"Jan 22, 2025",98,WARN,Salina,67401,1 - Workforce Investment Area I,"606 North Front Street; Salina, Kansas 67401",2260,https://www.kansasworks.com/search/warn_lookups/2260
"Jack Cooper Transport Company, LLC","Feb 10, 2025",102,WARN,Kansas City,66115,3 - Workforce Investment Area III,"200 E. Marley Road; Kansas City, Kansas 66115",2261,https://www.kansasworks.com/search/warn_lookups/2261
JOANN Fabric and Crafts,"Feb 12, 2025",10,Non-WARN,Wichita,67226,4 - Workforce Investment Area IV,"3665 N. Rock Rd. ; Wichita, Kansas 67226",2264,https://www.kansasworks.com/search/warn_lookups/2264
Forever 21,"Feb 14, 2025",,Non-WARN,Wichita,67207,4 - Workforce Investment Area IV,,2265,https://www.kansasworks.com/search/warn_lookups/2265
Haskell University,"Feb 19, 2025",,Non-WARN,Lawrence,66046,1 - Workforce Investment Area I,,2267,https://www.kansasworks.com/search/warn_lookups/2267
USDA NBAF,"Feb 14, 2025",10,Non-WARN,Manhattan,66506,1 - Workforce Investment Area I,"1980 Denison Ave; Manhattan, Kansas 66506",2268,https://www.kansasworks.com/search/warn_lookups/2268
TC Transcontinental,"Feb 26, 2025",45,WARN,Lenexa,66219,3 - Workforce Investment Area III,"10810 Mid AMerica Dr. ; Lenexa, Kansas 66219",2266,https://www.kansasworks.com/search/warn_lookups/2266
Penn Enterprises,"Jan 24, 2025",22,Non-WARN,Junction City,66441,1 - Workforce Investment Area I,"N/A; Junction City, Kansas 66441",2269,https://www.kansasworks.com/search/warn_lookups/2269
JC Penny,"Jan 27, 2025",,Non-WARN,Topeka,66604,1 - Workforce Investment Area I,,2270,https://www.kansasworks.com/search/warn_lookups/2270
Unidine,"Jan 02, 2024",67,WARN,Wichita,67226,4 - Workforce Investment Area IV,"7373 East 29th Street; Wichita, Kansas 67226",2222,https://www.kansasworks.com/search/warn_lookups/2222
Valu Merchandisers Company,"Jan 08, 2024",118,WARN,Fort Scott,66701,5 - Workforce Investment Area V,"4805 Campbell Drive; Fort Scott, Kansas 66701",2223,https://www.kansasworks.com/search/warn_lookups/2223
Timken Belts,"Jan 08, 2024",152,WARN,Fort Scott,66701,5 - Workforce Investment Area V,"4805 Campbell Drive; Fort Scott, Kansas 66701",2224,https://www.kansasworks.com/search/warn_lookups/2224
Amphenol Adronics,"Jan 02, 2024",40,Non-WARN,Novi,48375,1 - Workforce Investment Area I,"41180 Bridge Street; Novi, Michigan 48375",2225,https://www.kansasworks.com/search/warn_lookups/2225
KDI Cheese,"Jan 22, 2024",,Non-WARN,Hugoton,67951,1 - Workforce Investment Area I,,2226,https://www.kansasworks.com/search/warn_lookups/2226
Case New Holland,"Jan 22, 2024",,Non-WARN,Wichita,67215,4 - Workforce Investment Area IV,,2227,https://www.kansasworks.com/search/warn_lookups/2227
DHL,"Jan 22, 2024",,Non-WARN,Wichita,67215,4 - Workforce Investment Area IV,,2228,https://www.kansasworks.com/search/warn_lookups/2228
Rush County Memorial Hospital,"Feb 15, 2024",,Non-WARN,La Crosse,67548,1 - Workforce Investment Area I,,2230,https://www.kansasworks.com/search/warn_lookups/2230
Paramount East Antique Mall,"Jan 30, 2024",,Non-WARN,Augusta,67010,4 - Workforce Investment Area IV,,2231,https://www.kansasworks.com/search/warn_lookups/2231
Siemens,"Mar 19, 2024",,Non-WARN,Hutchinson,67501,1 - Workforce Investment Area I,,2233,https://www.kansasworks.com/search/warn_lookups/2233
Sleep Haven,"Mar 20, 2024",,Non-WARN,Haven,67543,1 - Workforce Investment Area I,,2234,https://www.kansasworks.com/search/warn_lookups/2234
Aahn's Place,"Apr 01, 2024",,Non-WARN,Wellington,67152,4 - Workforce Investment Area IV,,2235,https://www.kansasworks.com/search/warn_lookups/2235
National Institute for Aviation Research,"Apr 12, 2024",,Non-WARN,Wichita,67260,4 - Workforce Investment Area IV,,2237,https://www.kansasworks.com/search/warn_lookups/2237
Horton's Furniture,"Apr 22, 2024",,Non-WARN,Wichita,67209,4 - Workforce Investment Area IV,,2238,https://www.kansasworks.com/search/warn_lookups/2238
Walmart,"May 17, 2024",,WARN,Edgerton,66021,3 - Workforce Investment Area III,,2240,https://www.kansasworks.com/search/warn_lookups/2240
Agco,"May 15, 2024",35,Non-WARN,Hesston,67062,1 - Workforce Investment Area I,"420 W. Lincoln; Hesston, Kansas 67062",2241,https://www.kansasworks.com/search/warn_lookups/2241
Legacy,"Jun 13, 2024",76,WARN,Kansas City,66106,3 - Workforce Investment Area III,"233 S 42nd Street; Kansas City, Kansas 66106",2242,https://www.kansasworks.com/search/warn_lookups/2242
Agco,"Jun 20, 2024",160,Non-WARN,Hesston,67062,1 - Workforce Investment Area I,"420 W. Lincoln; Hesston, Kansas 67062",2243,https://www.kansasworks.com/search/warn_lookups/2243
HSM Solutions,"Jul 22, 2024",,Non-WARN,Fort Smith,72916,1 - Workforce Investment Area I,,2244,https://www.kansasworks.com/search/warn_lookups/2244
Hostess Brands,"Jul 29, 2024",,WARN,Lenexa,66215,3 - Workforce Investment Area III,,2245,https://www.kansasworks.com/search/warn_lookups/2245
Vermillion Incorporated,"Sep 03, 2024",,Non-WARN,Wichita,67201,4 - Workforce Investment Area IV,,2246,https://www.kansasworks.com/search/warn_lookups/2246
Penske Logistics LLC,"Sep 16, 2024",,WARN,Kansas City,66115,3 - Workforce Investment Area III,,2247,https://www.kansasworks.com/search/warn_lookups/2247
OPmobility,"Sep 18, 2024",,WARN,Kansas City,66115,3 - Workforce Investment Area III,,2248,https://www.kansasworks.com/search/warn_lookups/2248
"Comprehensive Logistics, Inc LLC","Sep 20, 2024",,WARN,Kansas City,66115,3 - Workforce Investment Area III,,2250,https://www.kansasworks.com/search/warn_lookups/2250
Agco,"Sep 19, 2024",,Non-WARN,Beloit,67420,1 - Workforce Investment Area I,,2251,https://www.kansasworks.com/search/warn_lookups/2251
Beaty Brands,"Jan 04, 2019",44,WARN,,,3 - Workforce Investment Area III,,1930,https://www.kansasworks.com/search/warn_lookups/1930
Lee Brand,"Jan 14, 2019",93,WARN,,,3 - Workforce Investment Area III,,1931,https://www.kansasworks.com/search/warn_lookups/1931
Queen's Price Chopper,"Jan 07, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1932,https://www.kansasworks.com/search/warn_lookups/1932
"XPO Logistics Worldwide, Inc.","Jan 24, 2019",,WARN,,,3 - Workforce Investment Area III,,1933,https://www.kansasworks.com/search/warn_lookups/1933
ShopKo,"Jan 22, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1935,https://www.kansasworks.com/search/warn_lookups/1935
ShopKo,"Jan 10, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1936,https://www.kansasworks.com/search/warn_lookups/1936
ShopKo,"Jan 25, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1937,https://www.kansasworks.com/search/warn_lookups/1937
Oswego Community Hospital,"Feb 13, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1938,https://www.kansasworks.com/search/warn_lookups/1938
Oswego Community Clinic,"Feb 13, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1939,https://www.kansasworks.com/search/warn_lookups/1939
Chetopa Community Clinic,"Feb 13, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1940,https://www.kansasworks.com/search/warn_lookups/1940
Billy Sims Barbecue,"Feb 13, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1942,https://www.kansasworks.com/search/warn_lookups/1942
ShopKo,"Feb 04, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1943,https://www.kansasworks.com/search/warn_lookups/1943
ShopKo,"Feb 08, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1944,https://www.kansasworks.com/search/warn_lookups/1944
Moon's Hometown Market,"Feb 20, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1945,https://www.kansasworks.com/search/warn_lookups/1945
Moon's Hometown Market,"Feb 20, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1946,https://www.kansasworks.com/search/warn_lookups/1946
Aaron's,"Feb 19, 2019",4,Non-WARN,,,5 - Workforce Investment Area V,,1947,https://www.kansasworks.com/search/warn_lookups/1947
"Payless ShoeSource, Inc.","Feb 19, 2019",211,WARN,,,2 - Workforce Investment Area II,,1948,https://www.kansasworks.com/search/warn_lookups/1948
McCormick Armstrong,"Feb 21, 2019",60,Non-WARN,,,4 - Workforce Investment Area IV,,1949,https://www.kansasworks.com/search/warn_lookups/1949
Trinity Steel & Pipe Inc.,"May 13, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1977,https://www.kansasworks.com/search/warn_lookups/1977
ShopKo,"Feb 19, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1950,https://www.kansasworks.com/search/warn_lookups/1950
ShopKo,"Feb 22, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1951,https://www.kansasworks.com/search/warn_lookups/1951
Payless Shoes,"Feb 15, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1952,https://www.kansasworks.com/search/warn_lookups/1952
Taylor Communications,"Feb 27, 2019",,WARN,,,4 - Workforce Investment Area IV,,1953,https://www.kansasworks.com/search/warn_lookups/1953
ShopKo,"Feb 19, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1954,https://www.kansasworks.com/search/warn_lookups/1954
St. John's Military School,"Feb 06, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1955,https://www.kansasworks.com/search/warn_lookups/1955
Mid-Continent Instruments,"Jan 06, 2009",13,Non-WARN,,,4 - Workforce Investment Area IV,,1050,https://www.kansasworks.com/search/warn_lookups/1050
Sonaca NMF,"Jan 08, 2009",8,Non-WARN,,,4 - Workforce Investment Area IV,,1051,https://www.kansasworks.com/search/warn_lookups/1051
Atlas Aerospace,"Jan 09, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1052,https://www.kansasworks.com/search/warn_lookups/1052
Senior Aerospace,"Jan 09, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1053,https://www.kansasworks.com/search/warn_lookups/1053
Rubbermaid,"Jan 12, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1054,https://www.kansasworks.com/search/warn_lookups/1054
LSI Corp,"Jan 13, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1060,https://www.kansasworks.com/search/warn_lookups/1060
Unilever Food Solutions,"Jan 22, 2009",,WARN,,,4 - Workforce Investment Area IV,,1061,https://www.kansasworks.com/search/warn_lookups/1061
Central Kansas Medical Center,"Jan 07, 2009",,Non-WARN,,,1 - Workforce Investment Area I,,1062,https://www.kansasworks.com/search/warn_lookups/1062
Boeing,"Jan 19, 2009",,WARN,,,4 - Workforce Investment Area IV,,1063,https://www.kansasworks.com/search/warn_lookups/1063
Springhouse Foods,"Jan 20, 2009",,Non-WARN,,,1 - Workforce Investment Area I,,1064,https://www.kansasworks.com/search/warn_lookups/1064
PPI (Precision Pattern Interiors) DeCrane Aerospac,"Jan 21, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1065,https://www.kansasworks.com/search/warn_lookups/1065
Cessna,"Jan 29, 2009",,WARN,,,4 - Workforce Investment Area IV,,1066,https://www.kansasworks.com/search/warn_lookups/1066
Center Industries,"Jan 30, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1067,https://www.kansasworks.com/search/warn_lookups/1067
Accenture,"Jan 28, 2009",,WARN,,,4 - Workforce Investment Area IV,,1068,https://www.kansasworks.com/search/warn_lookups/1068
Sprint Nextel,"Feb 03, 2009",,WARN,,,3 - Workforce Investment Area III,,1070,https://www.kansasworks.com/search/warn_lookups/1070
Hawker Beechcraft,"Feb 06, 2009",1500,WARN,,,4 - Workforce Investment Area IV,,1071,https://www.kansasworks.com/search/warn_lookups/1071
DCCCA - Women's Recovery Center,"Jan 22, 2009",24,Non-WARN,,,1 - Workforce Investment Area I,,1072,https://www.kansasworks.com/search/warn_lookups/1072
Enersys,"Jan 30, 2009",30,Non-WARN,,,1 - Workforce Investment Area I,,1103,https://www.kansasworks.com/search/warn_lookups/1103
Premier Pneumatics,"Jan 21, 2009",,Non-WARN,,,1 - Workforce Investment Area I,,1073,https://www.kansasworks.com/search/warn_lookups/1073
Learjet,"Feb 06, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1074,https://www.kansasworks.com/search/warn_lookups/1074
Hawker Beechcraft,"Feb 06, 2009",,WARN,,,1 - Workforce Investment Area I,,1075,https://www.kansasworks.com/search/warn_lookups/1075
Circuit City,"Jan 16, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1077,https://www.kansasworks.com/search/warn_lookups/1077
GKN Aerospace Precision Machining,"Feb 13, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1078,https://www.kansasworks.com/search/warn_lookups/1078
Winfield Correctional Facility,"Feb 11, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1079,https://www.kansasworks.com/search/warn_lookups/1079
Senior Aerospace,"Feb 17, 2009",,Non-WARN,,,4 - Workforce Investment Area IV,,1080,https://www.kansasworks.com/search/warn_lookups/1080
